ID,QuestionnaireVersion,RawAge,Gender,Age,AgeGenCat,AgeSup,AgeGenSup,Maj.Clin,ClinCourse,Major,Etio.Bipolar,Etio.ChildD,Etio.Dep,Etio.General,Treat.AnxD,Treat.Dem,Treat.General,Treat.Schiz,Treat.Suicide,Gen.AnxD,Gen.AnxMeds.01,Gen.AnxMeds.02,Gen.EatD,Gen.General.01,Gen.General.02,Gen.SubsD,Gen.Suicide,Symp.AnxD.01,Symp.AnxD.02,Symp.Bipolar.01,Symp.Bipolar.02,Symp.ChildD,Symp.Dem,Symp.Dep,Symp.EatD,Symp.Gender,Symp.OCD,Symp.PersD.01,Symp.PersD.02,Symp.PTSD,Symp.Schiz,Symp.Sexual,Symp.SomSymD
560,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,W,R,R,R,R,R,R,R,W,R,R,R,R,R,R,W,W,R,W,R,R,R,W,W,R,R,R,W,W
975,A1,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,W,R,W,R,W,R,W,W,W,W,W,W,R,R,W,R,R,R,W,R,W,W,R,W,W,R,R,R,W,R,W
977,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,R,R,W,R,W,R,W,R,R,R,R,R,W,R,W,R,W,R,R,R,R,R,W,R,R
984,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,R,W,W,R,R,W,R,W,R,R,R,R,W,W,R,W,R,R,R,W,R,R,W,W,W,R
630,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,R,W,R,R,R,W,R,W,R,W,R,R,W,R,R,R,W,W,W,W,R,W,R,W,W,W,R,R,R,R
699,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,R,W,R,R,R,W,W,R,W,R,R,R,W,W,W,W,R,R,R,W,R,R,R,W,R,R
728,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,R,R,R,W,W,R,W,W,W,W,W,R,R,W,R,W,W,R,W,W,W,W,R,R,W,R,R
729,A2,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,R,R,W,R,R,R,W,W,W,W,W,W,R,R,R,R,W,W,W,W,W,W,W,W,W,R,R,W,W,W,W
775,A2,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,W,W,R,R,R,R,W,R,W,R,W,R,R,W,R,R,R,R,R,R,R,R,W,R,R,R,W,R,W,R,R
782,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,W,R,R,R,W,R,R,R,W,R,R
869,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,R,R,W,R,W,R,W,R,R,R,R,R,R,W,W,W,R,W,W,R,R,R,R,R,R,R,R
890,A2,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,W,R,R,W,R,R,R,R,W,W,R,R,W,W,W,W,R,R,R,W,R,W,W,W,W,W,R,W,R,W,R,W,R
1128,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,W,R,R,W,W,W,W,W,R,W,W,R,W,W,R,W,W,R,W,W,W,W,R,W,W,R,W,W,W,W
1162,A2,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,W,W,R,R,W,W,W,W,W,W,W,W,W,W,W,W,R,R,W,W,R,R,R,W,W,W,W,R,W,W,W,R,W
1185,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,R,W,W,R,W,W,W,W,W,W,R,W,W,W,W,W,R,W,R,W,W,W,W,R,W,W
1195,A2,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,R,W,R,R,R,R,W,R,W,W,R,R,W,W,W,W,W,W,W,W,W,R,W,W,W,W,W
76,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,R,R,W,R,R,W,W,R,W,R,R,R,W,W,R,W,W,W,R,R,W,W,W,W,W,R
90,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,W,R,R,R,R,W,W,R,W,W,R,W,R,R,R,W,R,R,W,R,W,W,W,W,R,W,R,W,R
119,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,R,W,W,R,R,W,R,W,R,R,W,R,R,R,W,W,R,W,R,W,R,W,R,R,W,W,R,W
199,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,W,R,R,R,R,W,R,W,R,W,W,W,R,R,R,R,W,R,R,W,W,R,R,W,R,W,R,R,W,R
327,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,W,R,R,W,R,R,R,R,W,R,W,W,R,R,R,W,W,R,W,W,W,R,W,W,R,W,R,W,W
337,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,W,W,W,W,W,W,W,W,R,W,R,W,W,W,W,W,R,R,W,W,R,R,W,W,R
392,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,R,R,W,R,W,W,W,R,W,W,R,R,R,W,W,R,W,W,R,R,W,W,W,W,W,R,W
451,A1,18,Male,18-24,18-24.M,18-20,18-20.M,Psyc.Clin,Clin,Psyc,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R
465,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,R,W,R,W,W,W,W,W,W,W,R,W,R,W,W,R,W,W,W,R,W,R,W,W,W,W,R
523,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,W,W,W,W,R,W,W,W,W,W,W,R,R,W,W,W,R,R,W,W,W,W,W,W,R,W
986,A1,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,W,R,R,R,W,W,R,R,R,W,W,R,R,W,R,R,W,W,W,R,R,R,R,R,R,R,W,W,R
620,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,W,R,W,W,W,W,W,R,R,W,W,R,R,W,W,W,W,R,W,W,W,W,W,W,R,W,R
787,A2,18,Male,18-24,18-24.M,18-20,18-20.M,Psyc.NoClin,NoClin,Psyc,W,W,R,R,W,W,R,R,W,R,W,W,W,W,W,W,W,R,W,W,R,W,W,W,W,W,R,W,R,W,W,W,W
926,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,W,W,W,W,W,W,W,W,W,W,W,R,W,W,W,W,W,W,W,W,W,W,W,R,R,W,R,W
933,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,W,R,W,W,W,W,W,R,W,W,W,R,W,W,W,W,W,W,W,R,W,W,W,W,W,W
940,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,R,R,W,W,W,W,W,R,R,W,W,W,W,W,W,W,W,W,W,W,R,W,W,W,W,R,W
952,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,R,W,R,W,R,W,W,W,W,R,W,W,W,W,W,W,W,W,W,W,W,W,W,R,W,R
1024,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,W,R,R,R,R,R,W,R,W,R,W,R,R,R,R,W,W,W,W,R,W,R,W,R,W,R,W,R,R
1054,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,W,W,W,W,W,W,W,W,W,R,W,W,R,W,W,R,W,W,W,W,W,R,W,W,W,W,W,W
1067,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R,W,W,W,R,W,R,R,R,W,R,R,W,R,R
1101,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,R,W,R,W,W,R,W,W,W,W,R,R,R,W,W,W,W,W,R,W,R,R,W,W,W,W
1114,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,R,W,W,W,R,W,R,R,W,R,R,W,W,W,W,W,W,W,R,W,R,W,W,W,R,W
1116,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,R,R,R,W,W,W,W,R,W,R,W,W,R,R,R,W,R,R,W,R,W,R,W,W,R,W,R,R,R
1140,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,W,W,R,W,W,W,R,W,W,W,W,R,R,W,W,R,R,W,W,W,R,W,W,R,W,R,W,W
1141,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,W,R,W,W,R,R,W,R,W,W,W,R,R,W,W,W,W,W,W,W,W,R,W,W,W,R,W
1165,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,W,R,W,R,R,W,W,R,W,R,W,R,R,W,W,R,R,R,R,W,W,R,R,W,W,R
1166,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,R,W,R,W,R,R,W,W,R,W,R,R,R,W,W,R,W,W,W,W,W,W,R,R,W,W,R
1178,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,R,W,W,R,W,W,W,R,W,R,R,R,W,W,R,W,W,W,W,W,W,W,W,W,R,W
1181,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,R,W,W,W,R,W,W,W,W,W,W,R,W,W,R,W,W,R,W,R,W,R,R,W,W,W,W,W,W,R
1183,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,R,W,W,R,W,W,W,W,W,W,W,W,W,W,R,W,W,W,W,W,W,W,W,W,W,W,R
1186,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,W,W,W,R,W,R,W,W,R,W,R,R,W,W,W,R,W,R,W,R,W,W,W,W,W,R,W
1199,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,R,R,R,W,W,W,R,W,R,W,W,R,R,R,W,W,W,R,R,W,R,W,R,R,W,W,W,W
1201,A2,18,Male,18-24,18-24.M,18-20,18-20.M,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,W,R,W,R,W,R,W,W,W,W,R,W,W,W,R,R,W,W,W,R,R,R,R,R,W,W,R
44,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R,W,R,R,W,R,R,R,W,R,R,R,W,W,R
56,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R
74,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,R,R,R,W,W,R,W,W,R,R,W,R,R,R,R,W,W,W,W,R,W,W,R,W,R,R,R,R
113,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,W,W,W,W,W,W,R,W,W,R,R,R,R,R,W,W,W,W,R,W,R,R,R,W,R,W
125,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,W,R,W,W,W,W,R,R,R,R,R,R,R,W,W,W,W,R,W,R,W,R,R,W,W,R,W
127,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,W,R,R,R,W,R,W,R,R,W,R,R,W,R,R,R,W,R,R,R,R,W,W,R,R,R,W,R,R
141,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,R,W,R,R,R,W,W,W,W,R,W,W,W,R,R,R,W,W,R,W,R,R,R,W,W,W,W,W,R,R
154,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,R,R,R,W,W,W,W,W,W,W,W,R,R,R,W,W,R,R,R,R,W,W,R,R,W,W,R,W
157,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,W,R,R,R,R,R,W,R,W,R,W,R,R,W,R,R,R,R,R,R,W,R,R,R,R,W,R,R,W,R,R
162,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,R,R,R,R,W,W,W,W,W,R,R,W,W,R,W,R,R,R,W,R,W,R,W,W,W
195,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,R,W,R,R,W,W,W,W,W,W,R,R,R,R,W,R,W,W,R,R,W,W,W,W,W,R,W
233,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,R,R,W,W,R,R,R,W,W,W,R,R,R,W,W,W,W,W,W,R,W,W,R,W,W,R,R
238,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,R,W,R,R,W,R,R,W,R,W,W,R,R,W,R,R,R,W,W,W,W,W,R,R,R,R,W,W,W,R,R
300,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,W,W,W,W,R,W,W,R,W,R,R,R,W,W,R,W,W,W,R,W,R,W,W,W,R,W,R,W
394,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,W,R,R,R,W,W,W,W,R,R,R,W,R,R,R,R,W,R,W,W,R,R,W,R,W,W,W,W,R
402,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,R,R,R,R,W,R,R,W,W,R,W,R,R,R,W,R,R,R,R,W,W,R,R,W,R,W,W,R,W,R,R
406,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,R,R,R,W,R,R,R,W,R,R,W,W,R,W,R,W,W,W,R,R,R,R,R,R,R
456,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,W,R,W,R,R,R,R,W,R,R,R,R,W,W,R,R,R,R,R,R,W,W,R,R,R,R,R,R,R,R,R,W
464,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,R,R,R,R,W,R,W,R,W,W,R,W,R,R,R,W,W,R,W,W,W,R,W,W,R,R,W,W,R
514,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,W,W,W,R,W,W,W,W,W,R,W,W,W,W,R,W,R,W,R,W,W,W,W,R,W,W,R,R,W,W,R
525,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,W,W,W,W,W,W,R,W,R,W,W,W,W,W,R,W,W,W,W,W,W,R,W,R,W,R,W,W,R
550,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,W,W,R,R
586,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,W,R,R,W,W,R,R,W,W,R,W,W,R,R,R,W,R,W,W,R,W,R,W,W,R,W,W,R,R
956,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R,R,W,R,W,R,R,R,R,W,R,R,W,R,R
963,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,R,R,R,R,R,R,W,W,R,W,W,W,W,R,W,R,W,R,R,W,R,W,R,R,W,R,W,W,W,R
980,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,W,R,R,R,W,R,W,R,W,R,W,R,W,W,R,R,R,W,W,W,W,R,R,R,W,R,R,R,R,R,R
981,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,W,W,W,R,W,W,R,W,W,W,W,W,W,R,W,R,W,R,W,W,R,W,R,W,R,R,W,W,W,W,R,W
983,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,W,R,R,R,W,R,R,R,W,R,W,W,W,W,R,W,R,R,R,W,W,W,W,R,W,R,R,R,W,W,W,W,R
994,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,R,W,R,R,R,R,R,W,R,W,W,R,W,R,R,R,R,W,W,W,R,W,R,R,W,R,R,R,R,R
1001,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,W,R,R,R,W,W,W,W,R,R,R,R,R,R,W,R,R,R,W,W,W,W,W,R,W
1003,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,R,R,W,R,R,R,W,R,W,R,W,W,R,W,R,R,R,W,W,W,W,R,W,R,R,R,R,R,W,W,W
1005,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.Clin,Clin,NonPsyc,R,R,R,R,R,R,W,W,W,R,R,R,W,W,R,W,W,R,R,R,W,R,W,R,W,R,R,W,W,W,R,W,R
1006,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,W,R,R,W,R,R,R,R,R,R,R,W,R,R
1011,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,W,R,W,W,W,W,W,R,W,W,R,R,R,W,W,R,W,R,W,R,R,W,R,W,W,W,W
1015,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,R,W,W,R,W,W,W,W,R,R,R,R,R,R,W,R,R,R,W,R,R,W,W,R,R
1017,A1,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,W,R,R,R,W,R,W,R,W,W,R,W,R,R,R,R,R,W,W,R,R,R,R,R,W,R,R,R,R
1250,A1,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,W,R,W,R,W,W,R,R,W,W,R,W,W,R,R,R,R,R,R,R,W,R,R,R,R
136,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,W,R,R,R,R,W,R,R,R,W,R,R,R,R,R,R,R,W,R,W,R,R,R,R,W,R,R,W,R,R
204,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,R,R,R,R,W,W,R,R,W,R,W,R,R,R,R,W,R,W,R,R,R,R,R,W,R,W,R,R
602,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,R,R,R,R,W,W,W,W,W,W,W,W,W,W,R,R,W,W,W,W,R,R,R,R,R,R,W,R,W,R
610,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,R,R,W,W,W,W,W,R,W,R,W,W,W,W,W,R,R,W,W,W,W,W,R,W,R,W,W,W,W,R,R,W
692,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,W,R,W,W,R,W,W,W,W,W,R,R,W,W,R,W,W,R,R,W,W,W,W,W,R,W,W,W,W,W
760,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,W,R,W,W,R,W,R,W,W,W,R,R,W,R,W,W,R,R,R,W,R,W,W,W,W,R,W,R,W,W,W,R,W
771,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,W,R,R,R,R,W,W,R,R,R,W,W,R,R,R,R,R,W,W,R,W,R,W,W,R,W,W,W,R
781,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,R,W,R,R,R,R,R,W,R,W,W,R,R,R,R,R,W,W,R,R,W,R,R,W,R,R,R,W,R,R
791,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,W,R,W,R,R,R,R,R,W,R,W,R,R,R,R,R,R,R,R,R,W,R,R,R,R,R,R,W,R,R,R
834,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,W,R,W,W,R,W,W,R,W,R,W,R,W,W,R,R,R,W,R,R,R,W,R,R,W,W,R,R
846,A2,19,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,R,R,W,R,R,R,R,W,W,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,W,R,R,W,R,R,R
854,A2,19,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,R,R,W,W,W,W,W,W,R,R,R,R,W,R,W,R,W,W,W,R,R,W,W,W,R,R,W,W,R,W
